"race_id","name","year","age","m_f","run_time","bike_time","swim_time","final_time","high_temp","low_temp"
5129,"Ironman Louisville",2010,30,"F",13172,19193,208380,36269,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",13198,18782,4028,36403,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",14153,18507,207900,36509,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",13667,17714,4408,36507,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",12707,20051,200880,36537,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13509,18235,4222,36401,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13767,18787,208440,36602,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13697,18591,3955,36618,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",12882,18979,4307,36644,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13574,18173,4429,36622,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",13763,19264,193380,36742,96.00,73.00
5129,"Ironman Louisville",2010,0,"F",13605,19351,202260,36726,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13582,18815,3913,36707,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",12495,19349,4453,36834,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",14025,17792,4504,36871,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",13899,18952,209580,37104,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",16446,16641,200400,36774,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",14189,18144,4320,37114,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13454,19576,210540,37180,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",13240,19465,4059,37122,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",14039,18691,4016,37223,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",13689,18699,4291,37131,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",14407,18790,215340,37187,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",13311,19752,215100,37303,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",14785,18519,3708,37402,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",13379,18664,4802,37435,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13014,19627,4020,37300,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",14217,19173,201600,37154,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13341,19462,3762,37321,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13120,19335,3993,37244,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",14069,18949,3814,37498,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",14366,18934,3954,37713,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13825,19258,3953,37501,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13575,19044,3942,37513,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",14180,19338,4004,37979,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",13755,19948,3681,37768,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13153,19990,210840,37467,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",13839,18986,3910,37520,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",14259,19223,4202,38051,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",14467,19172,209340,37521,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",14963,19052,211500,38045,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",14302,19014,4392,38099,96.00,73.00
