"race_id","name","year","qualifier_id","date","location","race_type","high_humidity","low_humidity","peak_wind_speed","starting_elevation","gross_elevation_gain","high_temp","low_temp"
5303,"Ironman 70.3 New Orleans",2011,66835,"4/17/11","New Orleans, LA, USA","Ironman 70.3",78.00,34.00,16.10,0.00,427.00,75.00,51.10
5315,"Ironman 70.3 Florida",2011,34695,"5/15/11","Haines City, FL, USA","Ironman 70.3",92.00,42.00,17.30,162.00,1673.00,84.20,66.20
5319,"Ironman 70.3 Busselton",2011,96581,"5/7/11","Busselton, Australia","Ironman 70.3",76.00,38.00,10.30,13.00,482.00,70.50,44.20
5320,"Ironman 70.3 Mallorca",2011,26947,"5/14/11","Alcudia, Spain","Ironman 70.3",100.00,35.00,19.40,49.00,3049.00,78.80,55.40
5331,"Ironman 70.3 St. Polten",2011,23825,"5/22/11","St. Polten, Austria","Ironman 70.3",94.00,32.00,20.10,876.00,3528.00,77.00,42.80
5336,"Ironman 70.3 Rapperswil-Jona",2011,90712,"6/5/11","Rapperswi0a, Switzerland","Ironman 70.3",100.00,25.00,8.10,1338.00,3742.00,78.10,57.20
5339,"Ironman 70.3 Italy",2011,27376,"6/12/11","Abruzzo, Italy","Ironman 70.3",88.00,58.00,11.40,0.00,3014.00,77.00,56.70
5345,"Ironman 70.3 Boise",2011,48187,"6/11/11","Boise, ID, USA","Ironman 70.3",80.00,24.00,10.30,2710.00,1684.00,72.00,48.00
5350,"Ironman 70.3 Cairns",2011,58292,"6/5/11","Cairns, Australia","Ironman 70.3",51.00,24.00,10.30,10.00,1717.00,81.50,55.60
5352,"Ironman 70.3 Kansas",2011,20467,"6/12/11","Lawrence, KS, USA","Ironman 70.3",90.00,62.00,18.30,975.00,3063.00,78.10,63.00
5362,"Ironman 70.3 UK",2011,88618,"6/19/11","Wimbleball, UK","Ironman 70.3",88.00,48.00,13.80,800.00,6185.00,65.80,53.10
5366,"Ironman 70.3 Boulder",2011,70132,"8/7/11","Boulder, CO, USA","Ironman 70.3",52.00,6.00,21.90,5430.00,2405.00,93.20,59.00
5373,"Ironman 70.3 Syracuse",2011,12266,"9/18/11","Syracuse, NY, USA","Ironman 70.3",92.00,37.00,10.30,685.00,3486.00,69.10,41.00
5382,"Ironman 70.3 Buffalo Springs Lake",2011,27670,"6/26/11","Lubbock, TX, USA","Ironman 70.3",58.00,5.00,26.30,2873.00,1870.00,111.90,75.00
5388,"Ironman 70.3 Muncie",2011,4646,"7/9/11","Muncie, IN, USA","Ironman 70.3",90.00,29.00,10.30,932.00,1323.00,89.10,61.00
5396,"Ironman 70.3 Vineman",2011,22764,"7/17/11","Windsor, CA, USA","Ironman 70.3",93.00,49.00,15.00,164.00,2440.00,75.90,54.00
5400,"Ironman 70.3 Racine",2011,61062,"7/17/11","Racine, WI, USA","Ironman 70.3",84.00,54.00,16.10,617.00,1655.00,93.90,69.10
5405,"Ironman 70.3 Philippines",2011,84977,"8/14/11","Cebu, Philippines","Ironman 70.3",100.00,72.00,4.50,56.00,1162.00,88.50,75.20
5413,"Ironman 70.3 Wiesbaden",2011,44937,"8/14/11","Wiesbaden, Germany","Ironman 70.3",100.00,49.00,23.00,377.00,5721.00,75.90,62.60
5421,"Ironman 70.3 Steelhead",2011,77882,"8/14/11","Benton Harbor, Michigan","Ironman 70.3",97.00,68.00,9.20,591.00,1954.00,73.90,62.10
5433,"Ironman 70.3 Timberman",2011,34567,"8/20/11","Gilford, NH, USA","Ironman 70.3",100.00,37.00,10.30,745.00,3115.00,84.20,62.60
5439,"Ironman 70.3 Calgary",2011,75516,"7/31/11","Calgary, Canada","Ironman 70.3",82.00,14.00,12.80,3438.00,2624.00,84.20,57.20
5447,"Ironman 70.3 Lake Stevens",2011,54633,"8/14/11","Lake Stevens, WA, USA","Ironman 70.3",88.00,52.00,10.30,217.00,3384.00,66.00,55.40
