"id","race_id","qualifier_id","name","year","age","athlete_id","final_time","cycle_time","run_time","swim_time","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
100706,5279,56781,"Ironman Texas",2013,45,10946,47528,22321,18633,5093,91.00,73.00,94.00,47.00,160.00,2822.00
171315,5171,73783,"Ironman Lake Placid",2011,46,10946,48022,23462,18591,4941,77.00,47.00,100.00,43.00,1801.00,6493.00
357976,5210,20398,"Ironman Coeur d Alene",2007,50,11123,50530,22948,21234,5716,68.00,46.00,71.00,37.00,2188.00,6517.00
101238,5281,56781,"Ironman Texas",2011,57,11123,51658,22021,21943,6397,91.00,71.00,87.00,48.00,160.00,2822.00
158266,5081,45963,"Ironman Lake Tahoe",2013,55,11123,52445,24757,20914,4994,61.00,33.00,89.00,33.00,6250.00,8246.00
37129,5020,67724,"Ironman Arizona",2006,51,11123,47512,21509,20548,4637,88.00,60.00,31.00,9.00,1160.00,2119.00
215234,5140,88283,"Ironman Canada",2012,55,11123,44799,21011,18058,4819,80.00,51.00,64.00,28.00,0.00,4268.00
13111,5008,7504,"Ironman Florida",2008,50,11123,46186,21419,19390,4588,73.00,49.00,79.00,38.00,15.00,1335.00
348277,5207,20398,"Ironman Coeur d Alene",2009,45,11176,48568,23172,19697,4745,60.00,48.00,87.00,55.00,2188.00,6517.00
245580,5090,48917,"Ironman World Championships",2004,40,11176,48673,25409,17641,4646,87.00,73.00,76.00,51.00,49.00,4865.00
358252,5211,20398,"Ironman Coeur d Alene",2006,45,11176,43501,21065,17703,4182,89.00,55.00,82.00,21.00,2188.00,6517.00
13165,5008,7504,"Ironman Florida",2008,45,11176,46543,21672,19210,4789,73.00,49.00,79.00,38.00,15.00,1335.00
36774,5018,67724,"Ironman Arizona",2007,45,11176,44707,21762,17869,4267,78.00,59.00,36.00,10.00,1160.00,2119.00
215887,5141,88283,"Ironman Canada",2010,50,11176,44971,23572,16642,4195,67.00,46.00,71.00,34.00,0.00,4268.00
357452,5209,20398,"Ironman Coeur d Alene",2008,45,11176,44693,0,0,44693,71.00,53.00,94.00,41.00,2188.00,6517.00
133945,5108,89837,"Ironman Wisconsin",2011,50,11342,53097,26673,19894,5383,84.00,51.00,100.00,43.00,863.00,1916.00
13330,5008,7504,"Ironman Florida",2008,45,11342,48686,24999,17442,5411,73.00,49.00,79.00,38.00,15.00,1335.00
231159,5148,88283,"Ironman Canada",2004,40,11342,50251,23341,21262,4897,80.00,57.00,94.00,44.00,0.00,4268.00
37478,5019,67724,"Ironman Arizona",2005,43,11342,14400,25372,19720,5106,72.00,57.00,46.00,13.00,1160.00,2119.00
149034,5117,89837,"Ironman Wisconsin",2002,40,11342,46752,24505,16117,5101,71.00,48.00,96.00,44.00,863.00,1916.00
